key,value,definition
lamp:tilt,-90,key:ca	=	*
light:tilt,-90,llum: inclinació	=	*
elevation,-3,llum: inclinació	=	*
layer,-3,capa -3
level,-3,nivell -3
layer,-2,capa -2
level,-2,nivell -2
layer,-1,capa	=	*
oneway,-1,d'una sola mà	=	*
osmarender:nameDirection,-1,osmarender:nomDirecció	=	*
class:bicycle,-1,classe:bicicleta -1
cycleway:left:oneway,-1,via_ciclable:esquerra:sentit únic -1
level,-1,nivell -1
layer,0,capa	=	*
depth,0,capacitat: deshabilitat	=	*
frequency,0,direcció	=	*
capacity:disabled,0,edifici:min_level	=	*
building:min_level,0,edifici:nivells:subterrani	=	*
building:flats,0,elevació	=	*
gtfs_location_type,0,freqüència	=	*
isced:level,0,gtfs_ubicació_tipus	=	*
metcouncil:sun_trips,0,isced:nivell	=	*
order,0,metcouncil:sun_trips	=	*
population,0,ordenar	=	*
rednap:grupo,0,població	=	*
direction,0,profunditat	=	*
roof:levels,0,rednap:grup	=	*
addr:floor,0,adreça:pis 0
addr:housenumber,0,adreça:número de casa 0
building:levels,0,edifici:nivells 0
building:levels:underground,0,edifici:nivells:subterrani 0
ele,0,ele 0
height,0,alçada 0
it:fvg:ctrn:revision,0,it:fvg:ctrn:revisió 0
level,0,nivell 0
level:ref,0,nivell:referència 0
massgis:DCAM_ID,0,massgis:DCAM_ID 0
massgis:EOEAINVOLV,0,massgis:EOEAINVOLV 0
massgis:FY_FUNDING,0,massgis:FY_FUNDING 0
massgis:OS_DEED_BO,0,massgis:OS_DEED_BO 0
massgis:OS_DEED_PA,0,massgis:OS_DEED_PA 0
massgis:PALIS_ID,0,massgis:PALIS_ID 0
mtb:scale,0,mtb:escala 0
mtb:scale:imba,0,mtb:escala:imba 0
mtb:scale:uphill,0,mtb:escala:pujada 0
highway:category:pl,1,acoblaments	=	*
layer,1,capa	=	*
capacity:disabled,1,capacitat	=	*
circuits,1,capacitat: deshabilitat	=	*
capacity,1,caps	=	*
isced:level,1,carretera:categoria:pl	=	*
lanes:backward,1,carrils	=	*
lanes:both_ways,1,carrils: al revés	=	*
lanes:psv,1,carrils: endavant	=	*
level:ref,1,carrils: psv	=	*
lanes:forward,1,carrils:tots dos_senders	=	*
class:bicycle:mtb,1,circuits	=	*
couplings,1,classe:bicicleta:mtb	=	*
step_count,1,comptador_de_passos	=	*
teryt:rm,1,costats	=	*
oneway,1,d'una sola mà	=	*
building:levels:underground,1,edifici:base_alçada	=	*
building:ruian:type,1,edifici:min_level	=	*
building:min_level,1,edifici:nivells:subterrani	=	*
building:foundation_height,1,edifici:pisos	=	*
building:units,1,edifici:ruian:tipus	=	*
cables,1,edifici:unitats	=	*
tracks,1,empremtes	=	*
ref:drain_zone,1,ferrocarril: track_ref	=	*
railway:track_ref,1,ferrocarril:etc.	=	*
lamp:count,1,flames_de_lampada	=	*
lamp_flames,1,isced:nivell	=	*
traces,1,lavabos:num_chambers	=	*
public_transport:version,1,línies_de_passatgers	=	*
lanes,1,llum: compte	=	*
light:count,1,llum: compte	=	*
passenger_lines,1,llum: compte	=	*
maxspeed,1,màxima velocitat	=	*
admin_level,1,nivell d'administrador	=	*
levels,1,nivell: referència	=	*
osmarender:nameDirection,1,osmarender:nomDirecció	=	*
heritage,1,patrimoni	=	*
roof:height,1,ref:drenatge_zona	=	*
roof:levels,1,sostre: alçada	=	*
addr:block_number,1,sostre:nivells	=	*
sides,1,sostre:nivells	=	*
toilets:num_chambers,1,teryt:rm	=	*
railway:etcs,1,transport_públic:versió	=	*
addr:conscriptionnumber,1,adreça:número de servei militar obligatori 1
addr:neighbourhood,1,adreça: barri 1
addr:streetnumber,1,adreça:carrer number 1
addr:unit,1,adreça:unit 1
building:levels,1,edifici:nivells 1
class:bicycle,1,classe:bicicleta 1
devices,1,dispositius 1
diameter_crown,1,diàmetre_corona 1
door:wings,1,porta: ales 1
hoops,1,cèrcols 1
KSJ2:DFC,1,KSJ2:DFC 1
KSJ2:PRC,1,KSJ2:PRC 1
lanes:bus,1,carrils: bus 1
level,1,nivell 1
local_ref,1,ref_local 1
mtb:scale,1,mtb:escala 1
mtb:scale:imba,1,mtb:escala:imba 1
mtb:scale:uphill,1,mtb:escala:pujada 1
name,1,nom 1
phases,1,phases	1
ref,1,referència 1
seats,1,seients 1
socket:chademo,1,socket:chademo 1
socket:type2,1,socket:tipus2 1
socket:type2_combo,1,socket:tipus2_combo 1
width,1,width	1
heritage,2,acoblaments	=	*
circuits,2,capacitat: deshabilitat	=	*
hoops,2,carretera:categoria:pl	=	*
lanes:backward,2,carrils	=	*
lanes:forward,2,carrils: al revés	=	*
level:ref,2,carrils: endavant	=	*
isced:level,2,cèrcols	=	*
construction:railway:etcs,2,circuits	=	*
protect_class,2,classe de protecció	=	*
couplings,2,construcció:ferrocarril:etc.	=	*
socket:type2,2,costats	=	*
building:min_level,2,edifici:nivells:subterrani	=	*
building:levels:underground,2,edifici:pisos	=	*
capacity:disabled,2,edifici:ruian:tipus	=	*
roof:height,2,ferrocarril: track_ref	=	*
railway:track_ref,2,ferrocarril:etc.	=	*
highway:category:pl,2,herència	=	*
lanes,2,isced:nivell	=	*
public_transport:version,2,línies_de_passatgers	=	*
local_ref,2,llum: compte	=	*
NHD:RESOLUTION,2,local_ref	=	*
passenger_lines,2,NHD:RESOLUCIÓ	=	*
light:count,2,nivell: referència	=	*
sides,2,seients	=	*
roof:levels,2,sostre: alçada	=	*
seats,2,sostre:nivells	=	*
railway:etcs,2,transport_públic:versió	=	*
admin_level,2,admin_level 2
cables,2,cables 2
class:bicycle,2,classe:bicicleta 2
diameter_crown,2,diàmetre_corona 2
layer,2,capa 2
level,2,nivell 2
maxheight,2,alçada_màxima 2
mtb:scale,2,mtb:escala 2
mtb:scale:imba,2,mtb:escala:imba 2
mtb:scale:uphill,2,mtb:escala:pujada 2
railway:ctcs,2,ferrocarril:ctcs	2
tracks,2,vies 2
yh:WIDTH_RANK,2,yh:WIDTH_RANK	2
expected_rwn_route_relations,3,acoblaments	=	*
couplings,3,caps	=	*
lanes,3,carretera:categoria:pl	=	*
lanes:backward,3,carrils	=	*
lanes:forward,3,carrils: al revés	=	*
par,3,carrils: endavant	=	*
protect_class,3,classe de protecció	=	*
surface:grade,3,comptador_de_passos	=	*
cables,3,edifici:ruian:tipus	=	*
roof:height,3,etapes	=	*
highway:category:pl,3,herència	=	*
isced:level,3,isced:nivell	=	*
passenger_lines,3,línies_de_passatgers	=	*
phases,3,línies_de_passatgers	=	*
heritage,3,relacions_de_ruta_rwn_esperades	=	*
stars,3,seients	=	*
seats,3,sostre: alçada	=	*
building:levels:underground,3,edifici:nivells:subterrani 3
capacity:disabled,3,Capacitat: discapacitat 3
diameter_crown,3,diàmetre_corona 3
expected_lwn_route_relations,3,esperades_lwn_route_relations 3
expected_rcn_route_relations,3,esperades_rcn_route_relations 3
layer,3,capa 3
level,3,nivell 3
massgis:POLY_CODE,3,massgis:POLY_CODE 3
min_age,3,edat_mínima 3
min_height,3,alçada_mínima 3
mtb:scale,3,mtb:escala 3
mtb:scale:imba,3,mtb:escala:imba 3
mtb:scale:uphill,3,mtb:escala:pujada 3
railway:ctcs,3,ferrocarril:ctcs	3
railway:track_class,3,ferrocarril:classe_via 3
railway:track_ref,3,ferrocarril:ref_via 3
yh:WIDTH_RANK,3,yh:WIDTH_RANK	3
capital,4,capital	=	*
lanes:backward,4,carrils	=	*
lanes:forward,4,carrils: al revés	=	*
mtb:scale:uphill,4,carrils: endavant	=	*
fire_hydrant:pressure,4,edifici:pisos	=	*
lanes,4,flames_de_lampada	=	*
lamp_flames,4,herència	=	*
heritage,4,hidrant_d'incendi:pressió	=	*
isced:level,4,isced:nivell	=	*
passenger_lines,4,línies_de_passatgers	=	*
protect_class,4,línies_de_passatgers	=	*
par,4,mtb:escala:costa amunt	=	*
roof:height,4,protegir_classe	=	*
stars,4,seients	=	*
seats,4,sostre: alçada	=	*
cables,4,cables 4
diameter_crown,4,diàmetre_corona 4
generator:solar:modules,4,generador:solar:mòduls 4
level,4,nivell 4
maxheight,4,alçada_màxima 4
mtb:scale,4,mtb:escala 4
railway:track_class,4,ferrocarril:classe_via 4
railway:track_ref,4,ferrocarril:ref_via 4
yh:WIDTH_RANK,4,yh:WIDTH_RANK	4
capital,5,capital	=	*
par,5,carrils	=	*
protect_class,5,classe de protecció	=	*
fire_hydrant:pressure,5,edifici:ruian:tipus	=	*
lanes,5,hidrant_d'incendi:pressió	=	*
isced:level,5,isced:nivell	=	*
heritage,5,patrimoni	=	*
roof:height,5,sostre: alçada	=	*
seats,5,sostre: alçada	=	*
diameter_crown,5,diàmetre_corona 5
level,5,nivell 5
maxheight,5,alçada_màxima 5
maxweight,5,pes màxim 5
mtb:scale:uphill,5,mtb:escala:pujada 5
railway:track_class,5,ferrocarril:classe_via 5
STIF:zone,5,STIF: zona 5
yh:WIDTH_RANK,5,yh:WIDTH_RANK	5
capital,6,capital	=	*
generator:solar:modules,6,caps	=	*
seats,6,carrils	=	*
protect_class,6,classe de protecció	=	*
cables,6,edifici:ruian:tipus	=	*
lanes,6,generador:solar:modules	=	*
isced:level,6,isced:nivell	=	*
heritage,6,patrimoni	=	*
source:geometry:version,6,seients	=	*
diameter_crown,6,diàmetre_corona 6
maxweight,6,pes màxim 6
lanes,7,edifici:ruian:tipus	=	*
heritage,7,patrimoni	=	*
diameter_crown,7,diàmetre_corona 7
generator:solar:modules,8,capital	=	*
capital,8,edifici:ruian:tipus	=	*
heritage,8,generador:solar:modules	=	*
diameter_crown,8,diàmetre_corona 8
metre_load,8,càrrega_metres 8
addr:streetnumber,9,adreça: número de conscripció	=	*
addr:conscriptionnumber,9,comptador_de_passos	=	*
heritage,9,patrimoni	=	*
diameter_crown,9,diàmetre_corona 9
maxaxleload,10,generador:solar:modules	=	*
accuracy,10,nivell_administrador	=	*
generator:solar:modules,10,nivell_administrador	=	*
heritage,10,patrimoni	=	*
accuracy:meters,10,precisió	=	*
addr:streetnumber,10,adreça:carrer number 10
diameter_crown,10,diàmetre_corona 10
maxweight,10,pes màxim 10
protect_class,11,classe de protecció	=	*
source:zoomlevel,11,nivell_administrador	=	*
diameter_crown,11,diàmetre_corona 11
max_age,11,edat_màxima 11
generator:solar:modules,12,edifici:ruian:tipus	=	*
diameter_crown,12,diàmetre_corona 12
maxweight,12,pes màxim 12
source:zoomlevel,12,font:zoomlevel 12
protect_class,13,classe de protecció	=	*
diameter_crown,13,diàmetre_corona 13
source:zoomlevel,13,font:zoomlevel 13
massgis:WETCODE,14,edifici:ruian:tipus	=	*
diameter_crown,14,diàmetre_corona 14
generator:solar:modules,14,generador:solar:mòduls 14
source:zoomlevel,14,font:zoomlevel 14
diameter_crown,15,diàmetre_corona 15
source:zoomlevel,15,font:zoomlevel 15
generator:solar:modules,16,edifici:ruian:tipus	=	*
source:zoomlevel,16,font: zoomlevel 16
source:zoomlevel,17,font: zoomlevel 17
protect_class,19,classe de protecció	=	*
maxweight,20,pes màxim 20
protect_class,21,classe de protecció	=	*
accuracy:meters,21,edifici:ruian:tipus	=	*
accuracy:meters,22,precisió: metres	=	*
ngbe:huso,30,precisió: metres	=	*
maxspeed:advisory,30,velocitat_màxima:advertència 30
maxspeed:backward,30,velocitat_màxima:retrocés 30
maxspeed:forward,30,velocitat_màxima:avançar 30
maxspeed:backward,40,velocitat_màxima:retrocés 40
maxspeed:forward,40,velocitat_màxima:avançar 40
maxspeed:backward,50,freqüència	=	*
maxspeed:forward,50,maxspeed:cap enrere	=	*
frequency,50,ngbe: fus	=	*
maxspeed,50,velocitat_màxima 50
maxspeed:hgv,50,velocitat_màxima:camió_carretera 50
minspeed,50,velocitat_mínima 50
proposed:frequency,50,proposat:frequency	50
gnis:state_id,55,velocitat màxima: endavant	=	*
frequency,60,gnis:estat_id	=	*
maxspeed:backward,60,velocitat_màxima:retrocés 60
maxspeed:forward,60,velocitat_màxima:avançar 60
minspeed,60,velocitat_mínima 60
maxweight,64,pes màxim 64
maxspeed:backward,70,freqüència	=	*
maxspeed:bus,70,maxspeed:cap enrere	=	*
maxspeed:forward,70,velocitat màxima: autobús	=	*
maxspeed:trailer,70,velocitat màxima: endavant	=	*
maxspeed:hgv,70,velocitat_màxima:camió_carretera 70
maxweight,74,pes màxim 74
maxspeed:bus,80,hidrant_d'incendi:diàmetre	=	*
maxspeed:hgv,80,velocitat màxima: autobús	=	*
maxspeed:trailer,80,velocitat màxima: hgv	=	*
fire_hydrant:diameter,80,velocitat màxima: remolc	=	*
maxspeed:backward,80,velocitat_màxima:retrocés 80
maxspeed:forward,80,velocitat_màxima:avançar 80
maxspeed:backward,90,direcció	=	*
maxspeed:forward,90,maxspeed:cap enrere	=	*
direction,90,velocitat màxima: remolc	=	*
maxspeed:backward,100,hidrant_d'incendi:diàmetre	=	*
maxspeed:forward,100,maxspeed:cap enrere	=	*
fire_hydrant:diameter,100,velocitat màxima: endavant	=	*
addr:postcode,100,adreça:codi postal 100
direction,100,direcció 100
maxspeed:bus,100,velocitat_màxima:autobús 100
emergency_telephone_code,112,CLC: codi	=	*
CLC:code,112,CLC:codi 112
direction,120,direcció 120
fire_hydrant:diameter,125,codi_telèfon_emergència	=	*
emergency:phone,144,emergències: telèfon 144
direction,145,direcció 145
fire_hydrant:diameter,150,diàmetre	=	*
diameter,150,hidrant_d'incendi:diàmetre	=	*
direction,150,direcció 150
direction,160,direcció 160
direction,165,direcció 165
direction,170,direcció 170
direction,175,direcció 175
direction,180,hidrant_d'incendi:diàmetre	=	*
direction,185,direcció 185
direction,190,direcció 190
fire_hydrant:diameter,200,direcció	=	*
direction,200,direcció 200
it:pv:pavia:EDIFC_USO,201,it:pv:pavia:EDIFC_USO 201
direction,210,direcció 210
direction,215,direcció 215
voltage,230,tensió 230
direction,250,direcció 250
MCC,268,MCC 268
